ID,Curso,Origem,Especialidade_Medico,Consultor,Etapa,Status,Valor_Proposta_R$,Data_Primeiro_Contato,Dias_No_Funil,Motivo_Perda,Turma_Interesse,Score_Lead,Observacoes
747,POS,Webinar,Geriatria,Vendedor 1,Negociação,Em andamento,32300.00,10/05/2026,18,,T4/26,87,Em análise de parcelamento
748,SHHE,WhatsApp,Clínica Geral,Vendedor 1,Negociação,Em andamento,14155.00,10/04/2026,53,,T2/26,80,Esperando retorno do cônjuge
749,R2,Indicação,Neurologia,Vendedor 2,Matriculado,Ganho,7650.00,12/02/2026,12,,T1/26,69,Pagamento confirmado
750,EAD,Congresso,Clínica Geral,Vendedor 5,Perdido,Perdido,1140.00,14/01/2026,74,Questões financeiras pessoais,T2/26,90,Confirmou escolha do concorrente
751,HTI,LinkedIn,Neurologia,Vendedor 6,Contato Realizado,Em andamento,17748.00,22/02/2026,36,,T2/26,86,Demo agendada
752,R2,Parceiro Clínica,Nutrologia,Vendedor 2,Negociação,Em andamento,8500.00,06/01/2026,111,,T3/26,85,Proposta revisada enviada
753,POS,Indicação,Ortopedia,Vendedor 3,Proposta Enviada,Em andamento,38000.00,26/01/2026,15,,T2/26,66,Follow-up agendado para 3 dias
754,SHHE,Instagram,Clínica Geral,Vendedor 5,Proposta Enviada,Em andamento,14900.00,13/02/2026,87,,T1/26,71,Follow-up agendado para 3 dias
755,HTI,Indicação,Dermatologia,Vendedor 2,Contato Realizado,Em andamento,17748.00,24/03/2026,53,,T3/26,78,Demo agendada
756,HTI,Email Marketing,Cardiologia,Vendedor 1,Negociação,Em andamento,17748.00,11/05/2026,64,,T4/26,44,Esperando retorno do cônjuge
757,HTI,WhatsApp,Pediatria,Vendedor 6,Proposta Enviada,Em andamento,17748.00,15/04/2026,4,,T2/26,32,Proposta personalizada enviada
758,R2,Parceiro Clínica,Neurologia,Vendedor 7,Proposta Enviada,Em andamento,8075.00,02/02/2026,84,,T3/26,82,Proposta personalizada enviada
759,HTI,Congresso,Cardiologia,Vendedor 1,Perdido,Perdido,17748.00,13/02/2026,70,Não respondeu após follow-up,T4/26,87,Lead frio
760,HTI,Webinar,Medicina do Trabalho,Vendedor 3,Matriculado,Ganho,17748.00,16/01/2026,1,,T4/26,64,Pix recebido
761,EAD,Site Orgânico,Nutrologia,Vendedor 1,Matriculado,Ganho,1140.00,11/05/2026,108,,T3/26,35,Boleto gerado
762,EAD,Congresso,Medicina do Trabalho,Vendedor 7,Proposta Enviada,Em andamento,1200.00,01/02/2026,90,,T2/26,65,Proposta personalizada enviada
763,SHHE,Parceiro Clínica,Ortopedia,Vendedor 1,Proposta Enviada,Em andamento,13410.00,12/06/2026,44,,T3/26,87,Proposta personalizada enviada
764,SHHE,WhatsApp,Nutrologia,Vendedor 5,Negociação,Em andamento,14155.00,05/01/2026,43,,T2/26,30,Em análise de parcelamento
765,HTI,Indicação,Neurologia,Vendedor 5,Proposta Enviada,Em andamento,15973.20,06/05/2026,91,,T4/26,98,Follow-up agendado para 3 dias
766,EAD,LinkedIn,Ortopedia,Vendedor 7,Matriculado,Ganho,1020.00,24/04/2026,86,,T1/26,75,Parcelado 12x aprovado
767,R2,WhatsApp,Psiquiatria,Vendedor 5,Matriculado,Ganho,7225.00,03/01/2026,90,,T1/26,89,Pix recebido
768,SHHE,Webinar,Ginecologia,Vendedor 5,Matriculado,Ganho,12665.00,24/06/2026,36,,T3/26,54,Pagamento confirmado
769,R2,Instagram,Geriatria,Vendedor 5,Proposta Enviada,Em andamento,8500.00,10/01/2026,47,,T3/26,93,Aguardando leitura
770,EAD,Parceiro Clínica,Cardiologia,Vendedor 7,Contato Realizado,Em andamento,1020.00,12/04/2026,82,,T1/26,65,Pediu proposta
771,R2,Webinar,Endocrinologia,Vendedor 6,Contato Realizado,Em andamento,7650.00,22/06/2026,73,,T2/26,38,Pediu proposta
772,SHHE,LinkedIn,Endocrinologia,Vendedor 3,Perdido,Perdido,12665.00,14/05/2026,30,Proposta não aprovada pela empresa,T2/26,32,Confirmou escolha do concorrente
773,EAD,Congresso,Medicina do Trabalho,Vendedor 3,Matriculado,Ganho,1200.00,20/04/2026,1,,T1/26,71,Parcelado 12x aprovado
774,POS,Instagram,Clínica Geral,Vendedor 4,Negociação,Em andamento,38000.00,13/05/2026,47,,T1/26,58,Aguardando aprovação financeira
775,NEXAL,Site Orgânico,Ortopedia,Vendedor 2,Proposta Enviada,Em andamento,9800.00,27/03/2026,25,,T1/26,33,Aguardando leitura
776,SHHE,Site Orgânico,Clínica Geral,Vendedor 5,Contato Realizado,Em andamento,14900.00,17/01/2026,40,,T1/26,33,Interesse demonstrado
777,POS,Indicação,Medicina do Trabalho,Vendedor 1,Negociação,Em andamento,38000.00,06/03/2026,108,,T2/26,43,Em análise de parcelamento
778,SHHE,WhatsApp,Ginecologia,Vendedor 1,Proposta Enviada,Em andamento,12665.00,19/01/2026,31,,T4/26,42,Aguardando leitura
779,POS,Parceiro Clínica,Clínica Geral,Vendedor 7,Perdido,Perdido,38000.00,22/03/2026,49,Escolheu concorrente,T2/26,37,Não retornou após 5 contatos
780,HTI,Instagram,Medicina do Trabalho,Vendedor 4,Proposta Enviada,Em andamento,17748.00,15/01/2026,87,,T1/26,67,Proposta personalizada enviada
781,POS,LinkedIn,Medicina do Trabalho,Vendedor 1,Proposta Enviada,Em andamento,32300.00,18/06/2026,77,,T1/26,88,Proposta personalizada enviada
782,POS,Site Orgânico,Medicina do Trabalho,Vendedor 6,Contato Realizado,Em andamento,34200.00,07/01/2026,87,,T4/26,96,Interesse demonstrado
783,R2,Email Marketing,Clínica Geral,Vendedor 7,Lead Captado,Em andamento,7650.00,01/06/2026,9,,T2/26,46,Aguardando primeiro contato
784,NEXAL,Site Orgânico,Pediatria,Vendedor 4,Negociação,Em andamento,9800.00,05/02/2026,32,,T1/26,37,Proposta revisada enviada
785,NEXAL,Parceiro Clínica,Psiquiatria,Vendedor 6,Perdido,Perdido,8330.00,21/03/2026,46,Questões financeiras pessoais,T2/26,48,Não retornou após 5 contatos
786,NEXAL,Parceiro Clínica,Nutrologia,Vendedor 3,Proposta Enviada,Em andamento,9800.00,31/05/2026,67,,T2/26,37,Follow-up agendado para 3 dias
787,R2,Congresso,Ginecologia,Vendedor 2,Proposta Enviada,Em andamento,8500.00,21/02/2026,82,,T1/26,73,Follow-up agendado para 3 dias
788,EAD,Webinar,Geriatria,Vendedor 4,Perdido,Perdido,1140.00,26/03/2026,89,Adiou para próxima turma,T3/26,83,Não retornou após 5 contatos
789,SHHE,LinkedIn,Pediatria,Vendedor 1,Perdido,Perdido,14900.00,01/01/2026,29,Não respondeu após follow-up,T2/26,89,Confirmou escolha do concorrente
790,SHHE,Email Marketing,Pediatria,Vendedor 4,Matriculado,Ganho,12665.00,07/04/2026,43,,T2/26,81,Boleto gerado
791,HTI,WhatsApp,Ginecologia,Vendedor 7,Proposta Enviada,Em andamento,16860.60,06/02/2026,15,,T3/26,86,Follow-up agendado para 3 dias
792,EAD,Parceiro Clínica,Nutrologia,Vendedor 7,Perdido,Perdido,1200.00,14/03/2026,26,Sem tempo no momento,T2/26,63,Confirmou escolha do concorrente
793,SHHE,WhatsApp,Ortopedia,Vendedor 5,Contato Realizado,Em andamento,14900.00,09/03/2026,23,,T1/26,32,Pediu proposta
794,SHHE,Site Orgânico,Neurologia,Vendedor 1,Matriculado,Ganho,14900.00,23/02/2026,120,,T3/26,88,Boleto gerado
795,NEXAL,WhatsApp,Neurologia,Vendedor 5,Perdido,Perdido,8330.00,22/04/2026,80,Escolheu concorrente,T1/26,48,Lead frio
796,SHHE,Email Marketing,Ortopedia,Vendedor 2,Matriculado,Ganho,14900.00,20/04/2026,77,,T2/26,35,Boleto gerado
797,R2,Instagram,Endocrinologia,Vendedor 3,Proposta Enviada,Em andamento,7650.00,13/03/2026,102,,T2/26,95,Aguardando leitura
798,POS,Email Marketing,Geriatria,Vendedor 7,Matriculado,Ganho,32300.00,07/06/2026,85,,T1/26,51,Parcelado 12x aprovado
799,EAD,Congresso,Nutrologia,Vendedor 2,Negociação,Em andamento,1200.00,06/04/2026,42,,T4/26,93,Em análise de parcelamento
800,NEXAL,Parceiro Clínica,Psiquiatria,Vendedor 4,Perdido,Perdido,9310.00,10/01/2026,84,Não respondeu após follow-up,T2/26,55,Não retornou após 5 contatos
